YEAR,MONTH,91-Day Tbill,182-days Tbill,364-days Tbill
1991,Jul,17.14,                 -  ,                 -  
,Aug,16.7,                 -  ,                 -  
,Sep,17.18,                 -  ,                 -  
,Oct,17.78,                 -  ,                 -  
,Nov,16.95,                 -  ,                 -  
,Dec,17.31,                 -  ,                 -  
1992,Jan,18.2,                 -  ,                 -  
,Feb,17.19,                 -  ,                 -  
,Mar,17.9,                 -  ,                 -  
,Apr,18.05,                 -  ,                 -  
,May,18.32,                 -  ,                 -  
,Jun,18.76,                 -  ,                 -  
,Jul,17.67,                 -  ,                 -  
,Aug,17.76,                 -  ,                 -  
,Sep,18.43,                 -  ,                 -  
,Oct,19.41,                 -  ,                 -  
,Nov,18.01,                 -  ,                 -  
,Dec,18.14,                 -  ,                 -  
1993,Jan,17.87,                 -  ,                 -  
,Feb,17.86,                 -  ,                 -  
,Mar,25.07,                 -  ,                 -  
,Apr,45.79,                 -  ,                 -  
,May,68.04,                 -  ,                 -  
,Jun,84.29,                 -  ,                 -  
,Jul,84.67,                 -  ,                 -  
,Aug,79.51,                 -  ,                 -  
,Sep,75.69,                 -  ,                 -  
,Oct,70.88,                 -  ,                 -  
,Nov,55.26,                 -  ,                 -  
,Dec,43.52,                 -  ,                 -  
1994,Jan,33.55,                 -  ,                 -  
,Feb,23.87,26.44,                 -  
,Mar,27.62,29.68,                 -  
,Apr,30.85,29.24,                 -  
,May,31.24,32.58,                 -  
,Jun,32.38,33.98,                 -  
,Jul,29.74,32.42,                 -  
,Aug,24.13,25.05,                 -  
,Sep,17.39,24.32,                 -  
,Oct,16.95,15.89,                 -  
,Nov,17.22,16.16,                 -  
,Dec,17.49,18.22,                 -  
1995,Jan,16.74,18.52,                 -  
,Feb,17.63,18.46,                 -  
,Mar,16.84,17.33,                 -  
,Apr,15.16,15.82,                 -  
,May,15.09,15.84,                 -  
,Jun,16.39,17.06,                 -  
,Jul,18.48,18.61,                 -  
,Aug,19.65,15.04,                 -  
,Sep,21.16,15.19,                 -  
,Oct,24.07,16.61,                 -  
,Nov,24.87,21.03,                 -  
,Dec,21.67,18.95,                 -  
1996,Jan,21.25,19.26,                 -  
,Feb,25.96,22.2,                 -  
,Mar,26.68,22.21,                 -  
,Apr,24.16,18.57,                 -  
,May,21.96,20.27,                 -  
,Jun,21.85,20.77,                 -  
,Jul,21.76,20.3,                 -  
,Aug,21.63,                 -  ,                 -  
,Sep,23.1,                 -  ,                 -  
,Oct,24.08,                 -  ,                 -  
,Nov,22.09,                 -  ,                 -  
,Dec,21.53,19.49,                 -  
1997,Jan,21.61,20,                 -  
,Feb,21.44,20,                 -  
,Mar,21.42,                 -  ,                 -  
,Apr,21.02,                 -  ,                 -  
,May,20.35,                 -  ,                 -  
,Jun,19.44,19.81,                 -  
,Jul,18.45,19.39,                 -  
,Aug,19.69,19.31,                 -  
,Sep,26.2,20.03,                 -  
,Oct,27.15,26.97,                 -  
,Nov,26.78,26.74,                 -  
,Dec,26.36,26.04,                 -  
1998,Jan,26.28,25.97,                 -  
,Feb,26.33,26.12,                 -  
,Mar,26.74,26.43,                 -  
,Apr,26.98,26.63,                 -  
,May,26.38,26.48,                 -  
,Jun,25.48,26.23,                 -  
,Jul,24.67,25.38,                 -  
,Aug,23.74,24.53,                 -  
,Sep,22.47,22.67,                 -  
,Oct,20.59,21.14,                 -  
,Nov,17.66,18.17,                 -  
,Dec,12.56,13.32,                 -  
1999,Jan,10.7,10.52,                 -  
,Feb,8.95,8.34,                 -  
,Mar,8.84,8.71,                 -  
,Apr,9.03,9.5,                 -  
,May,9.63,9.59,                 -  
,Jun,11.44,10.33,                 -  
,Jul,14.47,12.35,                 -  
,Aug,14.84,15.18,                 -  
,Sep,15.78,15.36,                 -  
,Oct,17.63,16.13,                 -  
,Nov,18.14,17.57,                 -  
,Dec,19.97,18.8,                 -  
2000,Jan,20.3,19.67,                 -  
,Feb,14.84,15.22,                 -  
,Mar,11.28,11.61,                 -  
,Apr,12.44,                 -  ,                 -  
,May,11.22,11.75,                 -  
,Jun,10.47,                 -  ,                 -  
,Jul,9.9,                 -  ,                 -  
,Aug,9.25,                 -  ,                 -  
,Sep,10.36,                 -  ,                 -  
,Oct,10.65,                 -  ,                 -  
,Nov,11.17,                 -  ,                 -  
,Dec,12.9,12.1,                 -  
2001,Jan,14.76,14.4,                  -   
,Feb,15.3,15.36,                  -   
,Mar,14.97,14.88,                  -   
,Apr,12.9,12.9,                  -   
,May,10.52,11.31,                  -   
,Jun,12.07,                  -   ,                  -   
,Jul,12.87,12.58,                  -   
,Aug,12.84,                  -   ,                  -   
,Sep,12.39,                  -   ,                  -   
,Oct,11.63,                  -   ,                  -   
,Nov,11.5,                  -   ,                  -   
,Dec,11.01,                  -   ,                  -   
2002,Jan,10.85,                  -   ,                  -   
,Feb,10.61,11.12,                  -   
,Mar,10.14,10.6,                  -   
,Apr,10.01,10.47,                  -   
,May,9.04,9.98,                  -   
,Jun,7.34,8.8,                  -   
,Jul,8.63,9.36,                  -   
,Aug,8.34,9.49,                  -   
,Sep,7.6,8.62,                  -   
,Oct,8.07,8.54,                  -   
,Nov,8.3,8.76,                  -   
,Dec,8.38,8.79,                  -   
2003,Jan,8.38,8.73,                  -   
,Feb,7.77,8.14,                  -   
,Mar,6.24,6.64,                  -   
,Apr,6.25,6.83,                  -   
,May,5.84,6.68,                  -   
,Jun,3,4.12,                  -   
,Jul,1.54,2.95,                  -   
,Aug,1.18,2.12,                  -   
,Sep,0.83,1.35,                  -   
,Oct,1,1.61,                  -   
,Nov,1.28,1.88,                  -   
,Dec,1.46,2.09,                  -   
2004,Jan,1.58,2.35,                  -   
,Feb,1.57,2.33,                  -   
,Mar,1.59,2.53,                  -   
,Apr,2.11,3.12,                  -   
,May,2.87,3.61,                  -   
,Jun,2.01,3.15,                  -   
,Jul,1.71,2.98,                  -   
,Aug,2.27,3.49,                  -   
,Sep,2.75,4.03,                  -   
,Oct,3.95,5.16,                  -   
,Nov,5.06,6.03,                  -   
,Dec,8.04,8.19,                  -   
2005,Jan,8.26,8.76,                  -   
,Feb,8.59,8.96,                  -   
,Mar,8.63,8.91,                  -   
,Apr,8.68,8.92,                  -   
,May,8.66,9.02,                  -   
,Jun,8.5,8.96,                  -   
,Jul,8.59,9.08,                  -   
,Aug,8.66,9.09,                  -   
,Sep,8.58,8.9,                  -   
,Oct,8.19,8.52,                  -   
,Nov,7.84,8.37,                  -   
,Dec,8.07,8.49,                  -   
2006,Jan,8.23,8.84,                  -   
,Feb,8.02,8.85,                  -   
,Mar,7.6,8.52,                  -   
,Apr,7.02,7.36,                  -   
,May,7.01,7.48,                  -   
,Jun,6.6,7.32,                  -   
,Jul,5.89,6.42,                  -   
,Aug,5.96,6.47,                  -   
,Sep,6.45,7.45,                  -   
,Oct,6.83,8.31,                  -   
,Nov,6.41,7.99,                  -   
,Dec,5.73,7.32,                  -   
